"Advanced Program Information"
3/17/2022

Year,Level,Division,"Enrollment Type",Count,Percent
"2019 - 2020",DIV,"Virginia Beach City Public Schools","Advanced Placement course enrollment",7329,35.33
"2019 - 2020",DIV,"Virginia Beach City Public Schools","Dual Enrollment enrollment",1211,5.84
"2019 - 2020",DIV,"Virginia Beach City Public Schools","Governors School enrollment",139,.67
"2019 - 2020",DIV,"Virginia Beach City Public Schools","IB Course enrollment",872,4.2
"2019 - 2020",DIV,"Virginia Beach City Public Schools","IB Exam Taken",306,1.48
"2019 - 2020",DIV,"Virginia Beach City Public Schools","Seniors enrolled in IB Program",205,.99
"2019 - 2020",DIV,"Warren County Public Schools","Advanced Placement Test Taken Preliminary Results",95,5.56
"2019 - 2020",DIV,"Warren County Public Schools","Advanced Placement course enrollment",233,13.64
"2019 - 2020",DIV,"Warren County Public Schools","Dual Enrollment enrollment",331,19.38
"2019 - 2020",DIV,"Warren County Public Schools","Governors School enrollment",31,1.81
"2019 - 2020",DIV,"Washington County Public Schools","Advanced Placement Test Taken Preliminary Results",87,3.89
"2019 - 2020",DIV,"Washington County Public Schools","Advanced Placement course enrollment",128,5.72
"2019 - 2020",DIV,"Washington County Public Schools","Dual Enrollment enrollment",424,18.94
"2019 - 2020",DIV,"Washington County Public Schools","Governors School enrollment",22,.98
"2019 - 2020",DIV,"Waynesboro City Public Schools","Advanced Placement Test Taken Preliminary Results",76,8.87
"2019 - 2020",DIV,"Waynesboro City Public Schools","Advanced Placement course enrollment",139,16.22
"2019 - 2020",DIV,"Waynesboro City Public Schools","Dual Enrollment enrollment",18,2.1
"2019 - 2020",DIV,"Waynesboro City Public Schools","Governors School enrollment",49,5.72
"2019 - 2020",DIV,"West Point Public Schools","Advanced Placement course enrollment",1,.39
"2019 - 2020",DIV,"West Point Public Schools","Dual Enrollment enrollment",137,53.1
"2019 - 2020",DIV,"Westmoreland County Public Schools","Advanced Placement Test Taken Preliminary Results",3,.63
"2019 - 2020",DIV,"Westmoreland County Public Schools","Advanced Placement course enrollment",10,2.09
"2019 - 2020",DIV,"Westmoreland County Public Schools","Dual Enrollment enrollment",45,9.39
"2019 - 2020",DIV,"Westmoreland County Public Schools","Governors School enrollment",20,4.18
"2019 - 2020",DIV,"Williamsburg-James City County Public Schools","Advanced Placement Test Taken Preliminary Results",772,20.31
"2019 - 2020",DIV,"Williamsburg-James City County Public Schools","Advanced Placement course enrollment",1155,30.38
"2019 - 2020",DIV,"Williamsburg-James City County Public Schools","Dual Enrollment enrollment",269,7.08
"2019 - 2020",DIV,"Williamsburg-James City County Public Schools","Governors School enrollment",27,.71
"2019 - 2020",DIV,"Winchester City Public Schools","Advanced Placement Test Taken Preliminary Results",304,22.98
"2019 - 2020",DIV,"Winchester City Public Schools","Advanced Placement course enrollment",353,26.68
"2019 - 2020",DIV,"Winchester City Public Schools","Dual Enrollment enrollment",228,17.23
"2019 - 2020",DIV,"Wise County Public Schools","Advanced Placement Test Taken Preliminary Results",36,2.25
"2019 - 2020",DIV,"Wise County Public Schools","Advanced Placement course enrollment",62,3.88
"2019 - 2020",DIV,"Wise County Public Schools","Dual Enrollment enrollment",319,19.95
"2019 - 2020",DIV,"Wise County Public Schools","Governors School enrollment",103,6.44
"2019 - 2020",DIV,"Wythe County Public Schools","Dual Enrollment enrollment",276,22.44
"2019 - 2020",DIV,"Wythe County Public Schools","Governors School enrollment",26,2.11
"2019 - 2020",DIV,"York County Public Schools","Advanced Placement Test Taken Preliminary Results",1140,27.81
"2019 - 2020",DIV,"York County Public Schools","Advanced Placement course enrollment",1649,40.23
"2019 - 2020",DIV,"York County Public Schools","Dual Enrollment enrollment",44,1.07
"2019 - 2020",DIV,"York County Public Schools","Governors School enrollment",74,1.81
"2019 - 2020",DIV,"York County Public Schools","IB Course enrollment",80,1.95
"2019 - 2020",DIV,"York County Public Schools","IB Exam Taken",41,1
"2019 - 2020",DIV,"York County Public Schools","Seniors enrolled in IB Program",20,.49
"2020 - 2021",DIV,"Accomack County Public Schools","Advanced Placement Test Taken Preliminary Results",52,3.37
"2020 - 2021",DIV,"Accomack County Public Schools","Advanced Placement course enrollment",54,3.5
"2020 - 2021",DIV,"Accomack County Public Schools","Dual Enrollment enrollment",190,12.33
"2020 - 2021",DIV,"Albemarle County Public Schools","Advanced Placement Test Taken Preliminary Results",434,10.09
"2020 - 2021",DIV,"Albemarle County Public Schools","Advanced Placement course enrollment",1715,39.87
"2020 - 2021",DIV,"Albemarle County Public Schools","Dual Enrollment enrollment",979,22.76
"2020 - 2021",DIV,"Alexandria City Public Schools","Advanced Placement Test Taken Preliminary Results",290,6.95
"2020 - 2021",DIV,"Alexandria City Public Schools","Advanced Placement course enrollment",290,6.95
"2020 - 2021",DIV,"Alexandria City Public Schools","Dual Enrollment enrollment",688,16.49
"2020 - 2021",DIV,"Alleghany County Public Schools","Advanced Placement Test Taken Preliminary Results",1,.16
"2020 - 2021",DIV,"Alleghany County Public Schools","Advanced Placement course enrollment",5,.81
"2020 - 2021",DIV,"Alleghany County Public Schools","Dual Enrollment enrollment",38,6.14
"2020 - 2021",DIV,"Alleghany County Public Schools","Governors School enrollment",21,3.39
"2020 - 2021",DIV,"Amelia County Public Schools","Advanced Placement Test Taken Preliminary Results",96,19.35
"2020 - 2021",DIV,"Amelia County Public Schools","Advanced Placement course enrollment",102,20.56
"2020 - 2021",DIV,"Amelia County Public Schools","Dual Enrollment enrollment",69,13.91
"2020 - 2021",DIV,"Amelia County Public Schools","Governors School enrollment",26,5.24
"2020 - 2021",DIV,"Amherst County Public Schools","Advanced Placement Test Taken Preliminary Results",102,8.54
"2020 - 2021",DIV,"Amherst County Public Schools","Advanced Placement course enrollment",173,14.48
"2020 - 2021",DIV,"Amherst County Public Schools","Governors School enrollment",16,1.34
"2020 - 2021",DIV,"Appomattox County Public Schools","Advanced Placement Test Taken Preliminary Results",43,6.33
"2020 - 2021",DIV,"Appomattox County Public Schools","Advanced Placement course enrollment",75,11.05
"2020 - 2021",DIV,"Appomattox County Public Schools","Dual Enrollment enrollment",83,12.22
"2020 - 2021",DIV,"Appomattox County Public Schools","Governors School enrollment",8,1.18
"2020 - 2021",DIV,"Arlington County Public Schools","Advanced Placement Test Taken Preliminary Results",2949,38.39
"2020 - 2021",DIV,"Arlington County Public Schools","Advanced Placement course enrollment",2949,38.39
"2020 - 2021",DIV,"Arlington County Public Schools","Dual Enrollment enrollment",796,10.36
"2020 - 2021",DIV,"Arlington County Public Schools","IB Course enrollment",749,9.75
"2020 - 2021",DIV,"Arlington County Public Schools","IB Exam Taken",381,4.96
"2020 - 2021",DIV,"Arlington County Public Schools","Seniors enrolled in IB Program",66,.86
"2020 - 2021",DIV,"Augusta County Public Schools","Advanced Placement Test Taken Preliminary Results",294,9.05
"2020 - 2021",DIV,"Augusta County Public Schools","Advanced Placement course enrollment",312,9.61
"2020 - 2021",DIV,"Augusta County Public Schools","Governors School enrollment",143,4.4
"2020 - 2021",DIV,"Bath County Public Schools","Dual Enrollment enrollment",29,19.21
"2020 - 2021",DIV,"Bedford County Public Schools","Advanced Placement Test Taken Preliminary Results",255,8.36
"2020 - 2021",DIV,"Bedford County Public Schools","Advanced Placement course enrollment",346,11.35
"2020 - 2021",DIV,"Bedford County Public Schools","Dual Enrollment enrollment",376,12.33
"2020 - 2021",DIV,"Bedford County Public Schools","Governors School enrollment",29,.95
"2020 - 2021",DIV,"Bland County Public Schools","Dual Enrollment enrollment",36,16.29
"2020 - 2021",DIV,"Botetourt County Public Schools","Advanced Placement Test Taken Preliminary Results",1,.07
"2020 - 2021",DIV,"Botetourt County Public Schools","Advanced Placement course enrollment",1,.07
"2020 - 2021",DIV,"Botetourt County Public Schools","Dual Enrollment enrollment",430,28.05
"2020 - 2021",DIV,"Botetourt County Public Schools","Governors School enrollment",33,2.15
"2020 - 2021",DIV,"Bristol City Public Schools","Advanced Placement Test Taken Preliminary Results",18,2.83
"2020 - 2021",DIV,"Bristol City Public Schools","Advanced Placement course enrollment",18,2.83
"2020 - 2021",DIV,"Bristol City Public Schools","Dual Enrollment enrollment",101,15.88
"2020 - 2021",DIV,"Brunswick County Public Schools","Advanced Placement Test Taken Preliminary Results",1,.22
"2020 - 2021",DIV,"Brunswick County Public Schools","Advanced Placement course enrollment",1,.22
"2020 - 2021",DIV,"Brunswick County Public Schools","Dual Enrollment enrollment",51,11.18
"2020 - 2021",DIV,"Buchanan County Public Schools","Advanced Placement Test Taken Preliminary Results",4,.49
"2020 - 2021",DIV,"Buchanan County Public Schools","Advanced Placement course enrollment",4,.49
"2020 - 2021",DIV,"Buchanan County Public Schools","Dual Enrollment enrollment",257,31.27
"2020 - 2021",DIV,"Buckingham County Public Schools","Dual Enrollment enrollment",149,26
"2020 - 2021",DIV,"Buckingham County Public Schools","Governors School enrollment",17,2.97
"2020 - 2021",DIV,"Buena Vista City Public Schools","Advanced Placement Test Taken Preliminary Results",11,3.97
"2020 - 2021",DIV,"Buena Vista City Public Schools","Advanced Placement course enrollment",11,3.97
"2020 - 2021",DIV,"Buena Vista City Public Schools","Dual Enrollment enrollment",61,22.02
"2020 - 2021",DIV,"Campbell County Public Schools","Advanced Placement Test Taken Preliminary Results",281,11.93
"2020 - 2021",DIV,"Campbell County Public Schools","Advanced Placement course enrollment",281,11.93
"2020 - 2021",DIV,"Campbell County Public Schools","Governors School enrollment",14,.59
"2020 - 2021",DIV,"Caroline County Public Schools","Advanced Placement Test Taken Preliminary Results",29,2.45
"2020 - 2021",DIV,"Caroline County Public Schools","Advanced Placement course enrollment",124,10.46
"2020 - 2021",DIV,"Caroline County Public Schools","Dual Enrollment enrollment",114,9.61
"2020 - 2021",DIV,"Caroline County Public Schools","Governors School enrollment",39,3.29
"2020 - 2021",DIV,"Carroll County Public Schools","Advanced Placement Test Taken Preliminary Results",6,.56
"2020 - 2021",DIV,"Carroll County Public Schools","Advanced Placement course enrollment",7,.66
"2020 - 2021",DIV,"Carroll County Public Schools","Dual Enrollment enrollment",379,35.59
"2020 - 2021",DIV,"Carroll County Public Schools","Governors School enrollment",4,.38
"2020 - 2021",DIV,"Charles City County Public Schools","Advanced Placement Test Taken Preliminary Results",6,3.17
"2020 - 2021",DIV,"Charles City County Public Schools","Advanced Placement course enrollment",6,3.17
"2020 - 2021",DIV,"Charles City County Public Schools","Dual Enrollment enrollment",3,1.59
"2020 - 2021",DIV,"Charles City County Public Schools","Governors School enrollment",9,4.76
"2020 - 2021",DIV,"Charlotte County Public Schools","Dual Enrollment enrollment",144,25.53
"2020 - 2021",DIV,"Charlotte County Public Schools","Governors School enrollment",18,3.19
"2020 - 2021",DIV,"Charlottesville City Public Schools","Advanced Placement Test Taken Preliminary Results",326,27.3
"2020 - 2021",DIV,"Charlottesville City Public Schools","Advanced Placement course enrollment",522,43.72
"2020 - 2021",DIV,"Charlottesville City Public Schools","Dual Enrollment enrollment",215,18.01
"2020 - 2021",DIV,"Chesapeake City Public Schools","Advanced Placement Test Taken Preliminary Results",858,6.48
"2020 - 2021",DIV,"Chesapeake City Public Schools","Advanced Placement course enrollment",2504,18.91
"2020 - 2021",DIV,"Chesapeake City Public Schools","Dual Enrollment enrollment",766,5.78
"2020 - 2021",DIV,"Chesapeake City Public Schools","Governors School enrollment",89,.67
"2020 - 2021",DIV,"Chesapeake City Public Schools","IB Course enrollment",224,1.69
"2020 - 2021",DIV,"Chesapeake City Public Schools","IB Exam Taken",44,.33
"2020 - 2021",DIV,"Chesapeake City Public Schools","Seniors enrolled in IB Program",59,.45
"2020 - 2021",DIV,"Chesterfield County Public Schools","Advanced Placement Test Taken Preliminary Results",55,.28
"2020 - 2021",DIV,"Chesterfield County Public Schools","Advanced Placement course enrollment",4941,24.9
"2020 - 2021",DIV,"Chesterfield County Public Schools","Dual Enrollment enrollment",2731,13.76
"2020 - 2021",DIV,"Chesterfield County Public Schools","Governors School enrollment",366,1.84
"2020 - 2021",DIV,"Chesterfield County Public Schools","IB Course enrollment",190,.96
"2020 - 2021",DIV,"Clarke County Public Schools","Advanced Placement Test Taken Preliminary Results",41,6.17
"2020 - 2021",DIV,"Clarke County Public Schools","Advanced Placement course enrollment",109,16.42
"2020 - 2021",DIV,"Clarke County Public Schools","Dual Enrollment enrollment",134,20.18
"2020 - 2021",DIV,"Clarke County Public Schools","Governors School enrollment",6,.9
"2020 - 2021",DIV,"Clarke County Public Schools","IB Course enrollment",233,35.09
"2020 - 2021",DIV,"Clarke County Public Schools","IB Exam Taken",50,7.53
"2020 - 2021",DIV,"Clarke County Public Schools","Seniors enrolled in IB Program",10,1.51
"2020 - 2021",DIV,"Colonial Beach Public Schools","Dual Enrollment enrollment",0,0
"2020 - 2021",DIV,"Colonial Beach Public Schools","Governors School enrollment",6,3.19
"2020 - 2021",DIV,"Colonial Heights City Public Schools","Advanced Placement Test Taken Preliminary Results",48,5.76
"2020 - 2021",DIV,"Colonial Heights City Public Schools","Advanced Placement course enrollment",89,10.68
"2020 - 2021",DIV,"Colonial Heights City Public Schools","Dual Enrollment enrollment",70,8.4
"2020 - 2021",DIV,"Colonial Heights City Public Schools","Governors School enrollment",12,1.44
"2020 - 2021",DIV,"Covington City Public Schools","Dual Enrollment enrollment",28,9.86
"2020 - 2021",DIV,"Craig County Public Schools","Dual Enrollment enrollment",22,13.02
"2020 - 2021",DIV,"Craig County Public Schools","Governors School enrollment",2,1.18
"2020 - 2021",DIV,"Culpeper County Public Schools","Advanced Placement Test Taken Preliminary Results",47,1.82
"2020 - 2021",DIV,"Culpeper County Public Schools","Advanced Placement course enrollment",340,13.14
"2020 - 2021",DIV,"Culpeper County Public Schools","Dual Enrollment enrollment",278,10.74
"2020 - 2021",DIV,"Culpeper County Public Schools","Governors School enrollment",29,1.12
"2020 - 2021",DIV,"Cumberland County Public Schools","Dual Enrollment enrollment",125,32.72
"2020 - 2021",DIV,"Cumberland County Public Schools","Governors School enrollment",17,4.45
"2020 - 2021",DIV,"Danville City Public Schools","Advanced Placement Test Taken Preliminary Results",48,3.1
"2020 - 2021",DIV,"Danville City Public Schools","Advanced Placement course enrollment",85,5.48
"2020 - 2021",DIV,"Danville City Public Schools","Dual Enrollment enrollment",180,11.61
"2020 - 2021",DIV,"Danville City Public Schools","Governors School enrollment",23,1.48
"2020 - 2021",DIV,"Danville City Public Schools","IB Course enrollment",23,1.48
"2020 - 2021",DIV,"Danville City Public Schools","IB Exam Taken",10,.65
"2020 - 2021",DIV,"Danville City Public Schools","Seniors enrolled in IB Program",14,.9
"2020 - 2021",DIV,"Dinwiddie County Public Schools","Advanced Placement Test Taken Preliminary Results",43,3.28
"2020 - 2021",DIV,"Dinwiddie County Public Schools","Advanced Placement course enrollment",129,9.85
"2020 - 2021",DIV,"Dinwiddie County Public Schools","Dual Enrollment enrollment",0,0
"2020 - 2021",DIV,"Dinwiddie County Public Schools","Governors School enrollment",15,1.15
"2020 - 2021",DIV,"Essex County Public Schools","Advanced Placement Test Taken Preliminary Results",11,2.66
"2020 - 2021",DIV,"Essex County Public Schools","Advanced Placement course enrollment",13,3.15
"2020 - 2021",DIV,"Essex County Public Schools","Dual Enrollment enrollment",46,11.14
"2020 - 2021",DIV,"Essex County Public Schools","Governors School enrollment",16,3.87
"2020 - 2021",DIV,"Fairfax County Public Schools","Advanced Placement Test Taken Preliminary Results",15318,25.88
"2020 - 2021",DIV,"Fairfax County Public Schools","Advanced Placement course enrollment",17880,30.21
"2020 - 2021",DIV,"Fairfax County Public Schools","Dual Enrollment enrollment",4066,6.87
"2020 - 2021",DIV,"Fairfax County Public Schools","Governors School enrollment",1823,3.08
"2020 - 2021",DIV,"Fairfax County Public Schools","IB Course enrollment",6496,10.98
"2020 - 2021",DIV,"Fairfax County Public Schools","IB Exam Taken",3522,5.95
"2020 - 2021",DIV,"Fairfax County Public Schools","Seniors enrolled in IB Program",471,.8
"2020 - 2021",DIV,"Falls Church City Public Schools","Advanced Placement Test Taken Preliminary Results",248,28.87
"2020 - 2021",DIV,"Falls Church City Public Schools","Advanced Placement course enrollment",248,28.87
"2020 - 2021",DIV,"Falls Church City Public Schools","Dual Enrollment enrollment",0,0
"2020 - 2021",DIV,"Falls Church City Public Schools","IB Course enrollment",222,25.84
"2020 - 2021",DIV,"Falls Church City Public Schools","IB Exam Taken",222,25.84
"2020 - 2021",DIV,"Falls Church City Public Schools","Seniors enrolled in IB Program",50,5.82
"2020 - 2021",DIV,"Fauquier County Public Schools","Advanced Placement course enrollment",1066,28.85
"2020 - 2021",DIV,"Fauquier County Public Schools","Dual Enrollment enrollment",954,25.82
"2020 - 2021",DIV,"Fauquier County Public Schools","Governors School enrollment",69,1.87
"2020 - 2021",DIV,"Floyd County Public Schools","Advanced Placement course enrollment",35,5.65
"2020 - 2021",DIV,"Floyd County Public Schools","Dual Enrollment enrollment",136,21.97
"2020 - 2021",DIV,"Fluvanna County Public Schools","Advanced Placement Test Taken Preliminary Results",89,7.49
"2020 - 2021",DIV,"Fluvanna County Public Schools","Advanced Placement course enrollment",100,8.41
"2020 - 2021",DIV,"Fluvanna County Public Schools","Dual Enrollment enrollment",241,20.27
"2020 - 2021",DIV,"Fluvanna County Public Schools","Governors School enrollment",139,11.69
"2020 - 2021",DIV,"Franklin City Public Schools","Governors School enrollment",1,.34
"2020 - 2021",DIV,"Franklin County Public Schools","Advanced Placement Test Taken Preliminary Results",101,5.01
"2020 - 2021",DIV,"Franklin County Public Schools","Advanced Placement course enrollment",175,8.68
"2020 - 2021",DIV,"Franklin County Public Schools","Dual Enrollment enrollment",264,13.1
"2020 - 2021",DIV,"Franklin County Public Schools","Governors School enrollment",29,1.44
"2020 - 2021",DIV,"Frederick County Public Schools","Advanced Placement Test Taken Preliminary Results",1143,25.8
"2020 - 2021",DIV,"Frederick County Public Schools","Advanced Placement course enrollment",301,6.79
"2020 - 2021",DIV,"Frederick County Public Schools","Dual Enrollment enrollment",837,18.89
"2020 - 2021",DIV,"Frederick County Public Schools","Governors School enrollment",55,1.24
"2020 - 2021",DIV,"Fredericksburg City Public Schools","Advanced Placement Test Taken Preliminary Results",85,8.85
"2020 - 2021",DIV,"Fredericksburg City Public Schools","Advanced Placement course enrollment",159,16.56
"2020 - 2021",DIV,"Fredericksburg City Public Schools","Dual Enrollment enrollment",44,4.58
"2020 - 2021",DIV,"Fredericksburg City Public Schools","IB Course enrollment",2,.21
"2020 - 2021",DIV,"Fredericksburg City Public Schools","Seniors enrolled in IB Program",3,.31
"2020 - 2021",DIV,"Galax City Public Schools","Dual Enrollment enrollment",65,19.06
"2020 - 2021",DIV,"Galax City Public Schools","Governors School enrollment",4,1.17
"2020 - 2021",DIV,"Giles County Public Schools","Advanced Placement Test Taken Preliminary Results",2,.26
"2020 - 2021",DIV,"Giles County Public Schools","Advanced Placement course enrollment",2,.26
"2020 - 2021",DIV,"Giles County Public Schools","Dual Enrollment enrollment",254,33.55
"2020 - 2021",DIV,"Giles County Public Schools","Governors School enrollment",19,2.51
"2020 - 2021",DIV,"Gloucester County Public Schools","Advanced Placement Test Taken Preliminary Results",43,2.67
"2020 - 2021",DIV,"Gloucester County Public Schools","Advanced Placement course enrollment",91,5.66
"2020 - 2021",DIV,"Gloucester County Public Schools","Dual Enrollment enrollment",232,14.42
"2020 - 2021",DIV,"Gloucester County Public Schools","Governors School enrollment",24,1.49
"2020 - 2021",DIV,"Goochland County Public Schools","Advanced Placement Test Taken Preliminary Results",114,13.32
"2020 - 2021",DIV,"Goochland County Public Schools","Advanced Placement course enrollment",305,35.63
"2020 - 2021",DIV,"Goochland County Public Schools","Dual Enrollment enrollment",184,21.5
"2020 - 2021",DIV,"Goochland County Public Schools","Governors School enrollment",26,3.04
"2020 - 2021",DIV,"Grayson County Public Schools","Dual Enrollment enrollment",134,29.52
"2020 - 2021",DIV,"Greene County Public Schools","Advanced Placement Test Taken Preliminary Results",62,6.49
"2020 - 2021",DIV,"Greene County Public Schools","Advanced Placement course enrollment",75,7.85
"2020 - 2021",DIV,"Greensville County Public Schools","Dual Enrollment enrollment",189,29.95
"2020 - 2021",DIV,"Greensville County Public Schools","Governors School enrollment",18,2.85
"2020 - 2021",DIV,"Halifax County Public Schools","Advanced Placement course enrollment",190,13.23
"2020 - 2021",DIV,"Halifax County Public Schools","Dual Enrollment enrollment",384,26.74
"2020 - 2021",DIV,"Hampton City Public Schools","Advanced Placement Test Taken Preliminary Results",203,3.44
"2020 - 2021",DIV,"Hampton City Public Schools","Advanced Placement course enrollment",1205,20.4
"2020 - 2021",DIV,"Hampton City Public Schools","Governors School enrollment",14,.24
"2020 - 2021",DIV,"Hampton City Public Schools","IB Course enrollment",113,1.91
"2020 - 2021",DIV,"Hampton City Public Schools","IB Exam Taken",35,.59
"2020 - 2021",DIV,"Hampton City Public Schools","Seniors enrolled in IB Program",5,.08
"2020 - 2021",DIV,"Hanover County Public Schools","Advanced Placement Test Taken Preliminary Results",712,12.42
"2020 - 2021",DIV,"Hanover County Public Schools","Advanced Placement course enrollment",1215,21.2
"2020 - 2021",DIV,"Hanover County Public Schools","Dual Enrollment enrollment",352,6.14
"2020 - 2021",DIV,"Hanover County Public Schools","Governors School enrollment",50,.87
"2020 - 2021",DIV,"Hanover County Public Schools","IB Course enrollment",548,9.56
"2020 - 2021",DIV,"Hanover County Public Schools","IB Exam Taken",364,6.35
"2020 - 2021",DIV,"Hanover County Public Schools","Seniors enrolled in IB Program",115,2.01
"2020 - 2021",DIV,"Harrisonburg City Public Schools","Advanced Placement Test Taken Preliminary Results",185,9.79
"2020 - 2021",DIV,"Harrisonburg City Public Schools","Advanced Placement course enrollment",207,10.96
"2020 - 2021",DIV,"Harrisonburg City Public Schools","Dual Enrollment enrollment",211,11.17
"2020 - 2021",DIV,"Henrico County Public Schools","Advanced Placement Test Taken Preliminary Results",2882,17.81
"2020 - 2021",DIV,"Henrico County Public Schools","Advanced Placement course enrollment",4602,28.44
"2020 - 2021",DIV,"Henrico County Public Schools","Governors School enrollment",182,1.12
"2020 - 2021",DIV,"Henrico County Public Schools","IB Course enrollment",333,2.06
"2020 - 2021",DIV,"Henrico County Public Schools","IB Exam Taken",207,1.28
"2020 - 2021",DIV,"Henrico County Public Schools","Seniors enrolled in IB Program",85,.53
"2020 - 2021",DIV,"Henry County Public Schools","Advanced Placement Test Taken Preliminary Results",377,17.22
"2020 - 2021",DIV,"Henry County Public Schools","Advanced Placement course enrollment",449,20.51
"2020 - 2021",DIV,"Henry County Public Schools","Dual Enrollment enrollment",335,15.3
"2020 - 2021",DIV,"Henry County Public Schools","Governors School enrollment",55,2.51
"2020 - 2021",DIV,"Highland County Public Schools","Advanced Placement Test Taken Preliminary Results",12,19.05
"2020 - 2021",DIV,"Highland County Public Schools","Advanced Placement course enrollment",16,25.4
"2020 - 2021",DIV,"Highland County Public Schools","Dual Enrollment enrollment",6,9.52
"2020 - 2021",DIV,"Hopewell City Public Schools","Advanced Placement Test Taken Preliminary Results",34,2.86
"2020 - 2021",DIV,"Hopewell City Public Schools","Advanced Placement course enrollment",34,2.86
"2020 - 2021",DIV,"Hopewell City Public Schools","Dual Enrollment enrollment",94,7.92
"2020 - 2021",DIV,"Hopewell City Public Schools","Governors School enrollment",24,2.02
"2020 - 2021",DIV,"Isle of Wight County Public Schools","Advanced Placement Test Taken Preliminary Results",199,10.67
"2020 - 2021",DIV,"Isle of Wight County Public Schools","Advanced Placement course enrollment",213,11.42
"2020 - 2021",DIV,"Isle of Wight County Public Schools","Dual Enrollment enrollment",337,18.07
"2020 - 2021",DIV,"Isle of Wight County Public Schools","Governors School enrollment",41,2.2
"2020 - 2021",DIV,"King George County Public Schools","Advanced Placement Test Taken Preliminary Results",112,8.01
"2020 - 2021",DIV,"King George County Public Schools","Advanced Placement course enrollment",171,12.22
"2020 - 2021",DIV,"King George County Public Schools","Dual Enrollment enrollment",118,8.43
"2020 - 2021",DIV,"King George County Public Schools","Governors School enrollment",100,7.15
"2020 - 2021",DIV,"King William County Public Schools","Advanced Placement Test Taken Preliminary Results",28,4.1
"2020 - 2021",DIV,"King William County Public Schools","Advanced Placement course enrollment",45,6.59
"2020 - 2021",DIV,"King William County Public Schools","Dual Enrollment enrollment",76,11.13
"2020 - 2021",DIV,"King William County Public Schools","Governors School enrollment",15,2.2
"2020 - 2021",DIV,"King and Queen County Public Schools","Advanced Placement Test Taken Preliminary Results",6,3.77
"2020 - 2021",DIV,"King and Queen County Public Schools","Advanced Placement course enrollment",20,12.58
"2020 - 2021",DIV,"King and Queen County Public Schools","Dual Enrollment enrollment",10,6.29
"2020 - 2021",DIV,"King and Queen County Public Schools","Governors School enrollment",12,7.55
"2020 - 2021",DIV,"Lancaster County Public Schools","Advanced Placement Test Taken Preliminary Results",3,.87
"2020 - 2021",DIV,"Lancaster County Public Schools","Advanced Placement course enrollment",3,.87
"2020 - 2021",DIV,"Lancaster County Public Schools","Dual Enrollment enrollment",70,20.41
"2020 - 2021",DIV,"Lancaster County Public Schools","Governors School enrollment",18,5.25
"2020 - 2021",DIV,"Lee County Public Schools","Dual Enrollment enrollment",175,19.51
"2020 - 2021",DIV,"Louisa County Public Schools","Advanced Placement Test Taken Preliminary Results",100,6.57
"2020 - 2021",DIV,"Louisa County Public Schools","Advanced Placement course enrollment",169,11.1
"2020 - 2021",DIV,"Louisa County Public Schools","Dual Enrollment enrollment",258,16.95
"2020 - 2021",DIV,"Louisa County Public Schools","Governors School enrollment",102,6.7
"2020 - 2021",DIV,"Lunenburg County Public Schools","Advanced Placement Test Taken Preliminary Results",9,1.8
"2020 - 2021",DIV,"Lunenburg County Public Schools","Advanced Placement course enrollment",13,2.61
"2020 - 2021",DIV,"Lunenburg County Public Schools","Dual Enrollment enrollment",44,8.82
"2020 - 2021",DIV,"Lunenburg County Public Schools","Governors School enrollment",19,3.81
"2020 - 2021",DIV,"Lynchburg City Public Schools","Advanced Placement Test Taken Preliminary Results",166,6.85
"2020 - 2021",DIV,"Lynchburg City Public Schools","Advanced Placement course enrollment",166,6.85
"2020 - 2021",DIV,"Lynchburg City Public Schools","Dual Enrollment enrollment",116,4.79
"2020 - 2021",DIV,"Lynchburg City Public Schools","Governors School enrollment",41,1.69
"2020 - 2021",DIV,"Madison County Public Schools","Dual Enrollment enrollment",99,18.2
"2020 - 2021",DIV,"Madison County Public Schools","Governors School enrollment",61,11.21
"2020 - 2021",DIV,"Manassas City Public Schools","Advanced Placement Test Taken Preliminary Results",346,15.54
"2020 - 2021",DIV,"Manassas City Public Schools","Advanced Placement course enrollment",356,15.99
"2020 - 2021",DIV,"Manassas City Public Schools","Dual Enrollment enrollment",268,12.03
"2020 - 2021",DIV,"Manassas City Public Schools","Governors School enrollment",13,.58
"2020 - 2021",DIV,"Manassas Park City Public Schools","Advanced Placement Test Taken Preliminary Results",108,9.78
"2020 - 2021",DIV,"Manassas Park City Public Schools","Advanced Placement course enrollment",237,21.47
"2020 - 2021",DIV,"Manassas Park City Public Schools","Dual Enrollment enrollment",60,5.43
"2020 - 2021",DIV,"Martinsville City Public Schools","Advanced Placement course enrollment",103,17.73
"2020 - 2021",DIV,"Martinsville City Public Schools","Dual Enrollment enrollment",65,11.19
"2020 - 2021",DIV,"Martinsville City Public Schools","Governors School enrollment",16,2.75
"2020 - 2021",DIV,"Mathews County Public Schools","Advanced Placement Test Taken Preliminary Results",9,3.16
"2020 - 2021",DIV,"Mathews County Public Schools","Advanced Placement course enrollment",13,4.56
"2020 - 2021",DIV,"Mathews County Public Schools","Dual Enrollment enrollment",62,21.75
"2020 - 2021",DIV,"Mathews County Public Schools","Governors School enrollment",15,5.26
"2020 - 2021",DIV,"Mecklenburg County Public Schools","Dual Enrollment enrollment",278,21.72
"2020 - 2021",DIV,"Middlesex County Public Schools","Dual Enrollment enrollment",70,21.41
