"Chronic Absenteeism"
3/17/2022

Year,Level,Division,Subgroup,"Count Below 10","Count Above 10","Percent Below 10","Percent above 10"
"2020 - 2021",DIV,"Highland County Public Schools","All Students",141,26,84.4,15.6
"2020 - 2021",DIV,"Highland County Public Schools","Economically Disadvantaged",70,21,76.9,23.1
"2020 - 2021",DIV,"Highland County Public Schools","English Learners",<,<,100,0
"2020 - 2021",DIV,"Highland County Public Schools",Female,76,12,86.4,13.6
"2020 - 2021",DIV,"Highland County Public Schools",Hispanic,<,<,100,0
"2020 - 2021",DIV,"Highland County Public Schools",Male,65,14,82.3,17.7
"2020 - 2021",DIV,"Highland County Public Schools","Multiple Races",<,<,75,25
"2020 - 2021",DIV,"Highland County Public Schools","Students with Disabilities",20,9,69,31
"2020 - 2021",DIV,"Highland County Public Schools",White,136,25,84.5,15.5
"2020 - 2021",DIV,"Hopewell City Public Schools","All Students",3099,847,78.5,21.5
"2020 - 2021",DIV,"Hopewell City Public Schools","American Indian",23,3,,
"2020 - 2021",DIV,"Hopewell City Public Schools",Asian,33,6,84.6,15.4
"2020 - 2021",DIV,"Hopewell City Public Schools",Black,1877,533,77.9,22.1
"2020 - 2021",DIV,"Hopewell City Public Schools","Economically Disadvantaged",2694,733,78.6,21.4
"2020 - 2021",DIV,"Hopewell City Public Schools","English Learners",199,27,88.1,11.9
"2020 - 2021",DIV,"Hopewell City Public Schools",Female,1565,403,79.5,20.5
"2020 - 2021",DIV,"Hopewell City Public Schools",Hispanic,389,81,82.8,17.2
"2020 - 2021",DIV,"Hopewell City Public Schools",Homeless,19,14,,
"2020 - 2021",DIV,"Hopewell City Public Schools",Male,1534,444,77.6,22.4
"2020 - 2021",DIV,"Hopewell City Public Schools","Multiple Races",76,24,76,24
"2020 - 2021",DIV,"Hopewell City Public Schools","Students with Disabilities",511,205,71.4,28.6
"2020 - 2021",DIV,"Hopewell City Public Schools",White,701,200,77.8,22.2
"2020 - 2021",DIV,"Isle of Wight County Public Schools","All Students",4865,434,91.8,8.2
"2020 - 2021",DIV,"Isle of Wight County Public Schools","American Indian",11,2,,
"2020 - 2021",DIV,"Isle of Wight County Public Schools",Asian,55,2,96.5,3.5
"2020 - 2021",DIV,"Isle of Wight County Public Schools",Black,1180,166,87.7,12.3
"2020 - 2021",DIV,"Isle of Wight County Public Schools","Economically Disadvantaged",1864,334,84.8,15.2
"2020 - 2021",DIV,"Isle of Wight County Public Schools","English Learners",72,5,93.5,6.5
"2020 - 2021",DIV,"Isle of Wight County Public Schools",Female,2354,180,92.9,7.1
"2020 - 2021",DIV,"Isle of Wight County Public Schools",Hispanic,256,24,91.4,8.6
"2020 - 2021",DIV,"Isle of Wight County Public Schools",Homeless,8,9,,
"2020 - 2021",DIV,"Isle of Wight County Public Schools",Male,2511,254,90.8,9.2
"2020 - 2021",DIV,"Isle of Wight County Public Schools","Multiple Races",336,29,92.1,7.9
"2020 - 2021",DIV,"Isle of Wight County Public Schools","Native Hawaiian",<,<,,
"2020 - 2021",DIV,"Isle of Wight County Public Schools","Students with Disabilities",647,99,86.7,13.3
"2020 - 2021",DIV,"Isle of Wight County Public Schools",White,3018,211,93.5,6.5
"2020 - 2021",DIV,"King George County Public Schools","All Students",3771,408,90.2,9.8
"2020 - 2021",DIV,"King George County Public Schools","American Indian",18,0,,
"2020 - 2021",DIV,"King George County Public Schools",Asian,42,1,97.7,2.3
"2020 - 2021",DIV,"King George County Public Schools",Black,546,100,84.5,15.5
"2020 - 2021",DIV,"King George County Public Schools","Economically Disadvantaged",1012,263,79.4,20.6
"2020 - 2021",DIV,"King George County Public Schools","English Learners",56,9,86.2,13.8
"2020 - 2021",DIV,"King George County Public Schools",Female,1864,193,90.6,9.4
"2020 - 2021",DIV,"King George County Public Schools",Hispanic,297,33,90,10
"2020 - 2021",DIV,"King George County Public Schools",Homeless,34,23,,
"2020 - 2021",DIV,"King George County Public Schools",Male,1907,215,89.9,10.1
"2020 - 2021",DIV,"King George County Public Schools","Multiple Races",362,67,84.4,15.6
"2020 - 2021",DIV,"King George County Public Schools","Native Hawaiian",<,<,,
"2020 - 2021",DIV,"King George County Public Schools","Students with Disabilities",510,80,86.4,13.6
"2020 - 2021",DIV,"King George County Public Schools",White,2503,207,92.4,7.6
"2020 - 2021",DIV,"King William County Public Schools","All Students",1787,219,89.1,10.9
"2020 - 2021",DIV,"King William County Public Schools","American Indian",24,1,,
"2020 - 2021",DIV,"King William County Public Schools",Asian,<,<,100,0
"2020 - 2021",DIV,"King William County Public Schools",Black,244,45,84.4,15.6
"2020 - 2021",DIV,"King William County Public Schools","Economically Disadvantaged",631,129,83,17
"2020 - 2021",DIV,"King William County Public Schools","English Learners",25,5,83.3,16.7
"2020 - 2021",DIV,"King William County Public Schools",Female,866,108,88.9,11.1
"2020 - 2021",DIV,"King William County Public Schools",Hispanic,57,12,82.6,17.4
"2020 - 2021",DIV,"King William County Public Schools",Homeless,17,6,,
"2020 - 2021",DIV,"King William County Public Schools",Male,921,111,89.2,10.8
"2020 - 2021",DIV,"King William County Public Schools","Multiple Races",86,14,86,14
"2020 - 2021",DIV,"King William County Public Schools","Students with Disabilities",214,49,81.4,18.6
"2020 - 2021",DIV,"King William County Public Schools",White,1368,147,90.3,9.7
"2020 - 2021",DIV,"King and Queen County Public Schools","All Students",765,42,94.8,5.2
"2020 - 2021",DIV,"King and Queen County Public Schools","American Indian",<,<,,
"2020 - 2021",DIV,"King and Queen County Public Schools",Asian,12,0,100,0
"2020 - 2021",DIV,"King and Queen County Public Schools",Black,182,24,88.3,11.7
"2020 - 2021",DIV,"King and Queen County Public Schools","Economically Disadvantaged",383,37,91.2,8.8
"2020 - 2021",DIV,"King and Queen County Public Schools","English Learners",18,0,100,0
"2020 - 2021",DIV,"King and Queen County Public Schools",Female,387,21,94.9,5.1
"2020 - 2021",DIV,"King and Queen County Public Schools",Hispanic,61,1,98.4,1.6
"2020 - 2021",DIV,"King and Queen County Public Schools",Homeless,<,<,,
"2020 - 2021",DIV,"King and Queen County Public Schools",Male,378,21,94.7,5.3
"2020 - 2021",DIV,"King and Queen County Public Schools","Multiple Races",72,2,97.3,2.7
"2020 - 2021",DIV,"King and Queen County Public Schools","Native Hawaiian",<,<,,
"2020 - 2021",DIV,"King and Queen County Public Schools","Students with Disabilities",107,14,88.4,11.6
"2020 - 2021",DIV,"King and Queen County Public Schools",White,434,15,96.7,3.3
"2020 - 2021",DIV,"Lancaster County Public Schools","All Students",817,145,84.9,15.1
"2020 - 2021",DIV,"Lancaster County Public Schools","American Indian",<,<,,
"2020 - 2021",DIV,"Lancaster County Public Schools",Asian,9,1,90,10
"2020 - 2021",DIV,"Lancaster County Public Schools",Black,437,105,80.6,19.4
"2020 - 2021",DIV,"Lancaster County Public Schools","Economically Disadvantaged",566,135,80.7,19.3
"2020 - 2021",DIV,"Lancaster County Public Schools","English Learners",<,<,100,0
"2020 - 2021",DIV,"Lancaster County Public Schools",Female,410,63,86.7,13.3
"2020 - 2021",DIV,"Lancaster County Public Schools",Hispanic,8,4,66.7,33.3
"2020 - 2021",DIV,"Lancaster County Public Schools",Homeless,12,12,,
"2020 - 2021",DIV,"Lancaster County Public Schools",Male,407,82,83.2,16.8
"2020 - 2021",DIV,"Lancaster County Public Schools","Multiple Races",41,4,91.1,8.9
"2020 - 2021",DIV,"Lancaster County Public Schools","Native Hawaiian",<,<,,
"2020 - 2021",DIV,"Lancaster County Public Schools","Students with Disabilities",119,22,84.4,15.6
"2020 - 2021",DIV,"Lancaster County Public Schools",White,321,30,91.5,8.5
"2020 - 2021",DIV,"Lee County Public Schools","All Students",2545,376,87.1,12.9
"2020 - 2021",DIV,"Lee County Public Schools","American Indian",<,<,,
"2020 - 2021",DIV,"Lee County Public Schools",Asian,<,<,100,0
"2020 - 2021",DIV,"Lee County Public Schools",Black,17,2,89.5,10.5
"2020 - 2021",DIV,"Lee County Public Schools","Economically Disadvantaged",1636,319,83.7,16.3
"2020 - 2021",DIV,"Lee County Public Schools","English Learners",<,<,100,0
"2020 - 2021",DIV,"Lee County Public Schools",Female,1224,153,88.9,11.1
"2020 - 2021",DIV,"Lee County Public Schools",Hispanic,35,5,87.5,12.5
"2020 - 2021",DIV,"Lee County Public Schools",Homeless,14,3,,
"2020 - 2021",DIV,"Lee County Public Schools",Male,1321,223,85.6,14.4
"2020 - 2021",DIV,"Lee County Public Schools","Multiple Races",37,2,94.9,5.1
"2020 - 2021",DIV,"Lee County Public Schools","Students with Disabilities",449,80,84.9,15.1
"2020 - 2021",DIV,"Lee County Public Schools",White,2451,367,87,13
"2020 - 2021",DIV,"Lexington City Public Schools","All Students",444,18,96.1,3.9
"2020 - 2021",DIV,"Lexington City Public Schools","American Indian",<,<,,
"2020 - 2021",DIV,"Lexington City Public Schools",Asian,14,0,100,0
"2020 - 2021",DIV,"Lexington City Public Schools",Black,29,1,96.7,3.3
"2020 - 2021",DIV,"Lexington City Public Schools","Economically Disadvantaged",124,12,91.2,8.8
"2020 - 2021",DIV,"Lexington City Public Schools","English Learners",24,4,85.7,14.3
"2020 - 2021",DIV,"Lexington City Public Schools",Female,221,8,96.5,3.5
"2020 - 2021",DIV,"Lexington City Public Schools",Hispanic,32,6,84.2,15.8
"2020 - 2021",DIV,"Lexington City Public Schools",Homeless,<,<,,
"2020 - 2021",DIV,"Lexington City Public Schools",Male,223,10,95.7,4.3
"2020 - 2021",DIV,"Lexington City Public Schools","Multiple Races",14,3,82.4,17.6
"2020 - 2021",DIV,"Lexington City Public Schools","Native Hawaiian",<,<,,
"2020 - 2021",DIV,"Lexington City Public Schools","Students with Disabilities",35,2,94.6,5.4
"2020 - 2021",DIV,"Lexington City Public Schools",White,350,8,97.8,2.2
"2020 - 2021",DIV,"Loudoun County Public Schools","All Students",76300,4094,94.9,5.1
"2020 - 2021",DIV,"Loudoun County Public Schools","American Indian",452,30,,
"2020 - 2021",DIV,"Loudoun County Public Schools",Asian,19290,475,97.6,2.4
"2020 - 2021",DIV,"Loudoun County Public Schools",Black,5327,388,93.2,6.8
"2020 - 2021",DIV,"Loudoun County Public Schools","Economically Disadvantaged",16207,2656,85.9,14.1
"2020 - 2021",DIV,"Loudoun County Public Schools","English Learners",13319,1702,88.7,11.3
"2020 - 2021",DIV,"Loudoun County Public Schools",Female,37387,1900,95.2,4.8
"2020 - 2021",DIV,"Loudoun County Public Schools",Hispanic,12746,1830,87.4,12.6
"2020 - 2021",DIV,"Loudoun County Public Schools",Homeless,1169,501,,
"2020 - 2021",DIV,"Loudoun County Public Schools",Male,38890,2193,94.7,5.3
"2020 - 2021",DIV,"Loudoun County Public Schools","Multiple Races",4403,187,95.9,4.1
"2020 - 2021",DIV,"Loudoun County Public Schools","Native Hawaiian",103,2,,
"2020 - 2021",DIV,"Loudoun County Public Schools","Students with Disabilities",8191,931,89.8,10.2
"2020 - 2021",DIV,"Loudoun County Public Schools",White,33979,1182,96.6,3.4
"2020 - 2021",DIV,"Louisa County Public Schools","All Students",4572,241,95,5
"2020 - 2021",DIV,"Louisa County Public Schools","American Indian",<,<,,
"2020 - 2021",DIV,"Louisa County Public Schools",Asian,37,0,100,0
"2020 - 2021",DIV,"Louisa County Public Schools",Black,674,34,95.2,4.8
"2020 - 2021",DIV,"Louisa County Public Schools","Economically Disadvantaged",2248,205,91.6,8.4
"2020 - 2021",DIV,"Louisa County Public Schools","English Learners",187,3,98.4,1.6
"2020 - 2021",DIV,"Louisa County Public Schools",Female,2305,102,95.8,4.2
"2020 - 2021",DIV,"Louisa County Public Schools",Hispanic,285,11,96.3,3.7
"2020 - 2021",DIV,"Louisa County Public Schools",Homeless,16,5,,
"2020 - 2021",DIV,"Louisa County Public Schools",Male,2267,139,94.2,5.8
"2020 - 2021",DIV,"Louisa County Public Schools","Multiple Races",366,36,91,9
"2020 - 2021",DIV,"Louisa County Public Schools","Native Hawaiian",<,<,,
"2020 - 2021",DIV,"Louisa County Public Schools","Students with Disabilities",744,81,90.2,9.8
"2020 - 2021",DIV,"Louisa County Public Schools",White,3198,160,95.2,4.8
"2020 - 2021",DIV,"Lunenburg County Public Schools","All Students",1393,154,90,10
"2020 - 2021",DIV,"Lunenburg County Public Schools","American Indian",<,<,,
"2020 - 2021",DIV,"Lunenburg County Public Schools",Asian,<,<,100,0
"2020 - 2021",DIV,"Lunenburg County Public Schools",Black,424,60,87.6,12.4
"2020 - 2021",DIV,"Lunenburg County Public Schools","Economically Disadvantaged",828,128,86.6,13.4
"2020 - 2021",DIV,"Lunenburg County Public Schools","English Learners",140,9,94,6
"2020 - 2021",DIV,"Lunenburg County Public Schools",Female,675,75,90,10
"2020 - 2021",DIV,"Lunenburg County Public Schools",Hispanic,185,14,93,7
"2020 - 2021",DIV,"Lunenburg County Public Schools",Homeless,40,7,,
"2020 - 2021",DIV,"Lunenburg County Public Schools",Male,718,79,90.1,9.9
"2020 - 2021",DIV,"Lunenburg County Public Schools","Multiple Races",69,18,79.3,20.7
"2020 - 2021",DIV,"Lunenburg County Public Schools","Native Hawaiian",<,<,,
"2020 - 2021",DIV,"Lunenburg County Public Schools","Students with Disabilities",209,37,85,15
"2020 - 2021",DIV,"Lunenburg County Public Schools",White,704,62,91.9,8.1
"2020 - 2021",DIV,"Lynchburg City Public Schools","All Students",5078,2558,66.5,33.5
"2020 - 2021",DIV,"Lynchburg City Public Schools","American Indian",11,13,,
"2020 - 2021",DIV,"Lynchburg City Public Schools",Asian,109,18,85.8,14.2
"2020 - 2021",DIV,"Lynchburg City Public Schools",Black,2144,1630,56.8,43.2
"2020 - 2021",DIV,"Lynchburg City Public Schools","Economically Disadvantaged",2602,2040,56.1,43.9
"2020 - 2021",DIV,"Lynchburg City Public Schools","English Learners",159,116,57.8,42.2
"2020 - 2021",DIV,"Lynchburg City Public Schools",Female,2569,1152,69,31
"2020 - 2021",DIV,"Lynchburg City Public Schools",Hispanic,322,221,59.3,40.7
"2020 - 2021",DIV,"Lynchburg City Public Schools",Homeless,41,77,,
"2020 - 2021",DIV,"Lynchburg City Public Schools",Male,2509,1406,64.1,35.9
"2020 - 2021",DIV,"Lynchburg City Public Schools","Multiple Races",485,250,66,34
"2020 - 2021",DIV,"Lynchburg City Public Schools","Native Hawaiian",9,1,,
"2020 - 2021",DIV,"Lynchburg City Public Schools","Students with Disabilities",697,387,64.3,35.7
"2020 - 2021",DIV,"Lynchburg City Public Schools",White,1998,425,82.5,17.5
"2020 - 2021",DIV,"Madison County Public Schools","All Students",1470,165,89.9,10.1
"2020 - 2021",DIV,"Madison County Public Schools","American Indian",<,<,,
"2020 - 2021",DIV,"Madison County Public Schools",Asian,<,<,100,0
"2020 - 2021",DIV,"Madison County Public Schools",Black,109,20,84.5,15.5
"2020 - 2021",DIV,"Madison County Public Schools","Economically Disadvantaged",687,128,84.3,15.7
"2020 - 2021",DIV,"Madison County Public Schools","English Learners",24,3,88.9,11.1
"2020 - 2021",DIV,"Madison County Public Schools",Female,719,76,90.4,9.6
"2020 - 2021",DIV,"Madison County Public Schools",Hispanic,62,7,89.9,10.1
"2020 - 2021",DIV,"Madison County Public Schools",Homeless,12,0,,
"2020 - 2021",DIV,"Madison County Public Schools",Male,751,89,89.4,10.6
"2020 - 2021",DIV,"Madison County Public Schools","Multiple Races",115,13,89.8,10.2
"2020 - 2021",DIV,"Madison County Public Schools","Students with Disabilities",136,19,87.7,12.3
"2020 - 2021",DIV,"Madison County Public Schools",White,1181,125,90.4,9.6
"2020 - 2021",DIV,"Manassas City Public Schools","All Students",6501,897,87.9,12.1
"2020 - 2021",DIV,"Manassas City Public Schools","American Indian",17,5,,
"2020 - 2021",DIV,"Manassas City Public Schools",Asian,255,17,93.8,6.2
"2020 - 2021",DIV,"Manassas City Public Schools",Black,618,79,88.7,11.3
"2020 - 2021",DIV,"Manassas City Public Schools","Economically Disadvantaged",3755,684,84.6,15.4
"2020 - 2021",DIV,"Manassas City Public Schools","English Learners",3056,465,86.8,13.2
"2020 - 2021",DIV,"Manassas City Public Schools",Female,3199,392,89.1,10.9
"2020 - 2021",DIV,"Manassas City Public Schools",Hispanic,4382,675,86.7,13.3
"2020 - 2021",DIV,"Manassas City Public Schools",Homeless,25,13,,
"2020 - 2021",DIV,"Manassas City Public Schools",Male,3302,505,86.7,13.3
"2020 - 2021",DIV,"Manassas City Public Schools","Multiple Races",324,56,85.3,14.7
"2020 - 2021",DIV,"Manassas City Public Schools","Native Hawaiian",<,<,,
"2020 - 2021",DIV,"Manassas City Public Schools","Students with Disabilities",695,133,83.9,16.1
"2020 - 2021",DIV,"Manassas City Public Schools",White,901,63,93.5,6.5
"2020 - 2021",DIV,"Manassas Park City Public Schools","All Students",2861,551,83.9,16.1
"2020 - 2021",DIV,"Manassas Park City Public Schools","American Indian",<,<,,
"2020 - 2021",DIV,"Manassas Park City Public Schools",Asian,189,5,97.4,2.6
"2020 - 2021",DIV,"Manassas Park City Public Schools",Black,247,38,86.7,13.3
"2020 - 2021",DIV,"Manassas Park City Public Schools","Economically Disadvantaged",1694,367,82.2,17.8
"2020 - 2021",DIV,"Manassas Park City Public Schools","English Learners",1355,337,80.1,19.9
"2020 - 2021",DIV,"Manassas Park City Public Schools",Female,1399,248,84.9,15.1
"2020 - 2021",DIV,"Manassas Park City Public Schools",Hispanic,1861,429,81.3,18.7
"2020 - 2021",DIV,"Manassas Park City Public Schools",Homeless,<,<,,
"2020 - 2021",DIV,"Manassas Park City Public Schools",Male,1462,303,82.8,17.2
"2020 - 2021",DIV,"Manassas Park City Public Schools","Multiple Races",167,33,83.5,16.5
"2020 - 2021",DIV,"Manassas Park City Public Schools","Native Hawaiian",<,<,,
"2020 - 2021",DIV,"Manassas Park City Public Schools","Students with Disabilities",360,88,80.4,19.6
"2020 - 2021",DIV,"Manassas Park City Public Schools",White,393,46,89.5,10.5
"2020 - 2021",DIV,"Martinsville City Public Schools","All Students",1725,91,95,5
"2020 - 2021",DIV,"Martinsville City Public Schools","American Indian",<,<,,
"2020 - 2021",DIV,"Martinsville City Public Schools",Asian,21,0,100,0
"2020 - 2021",DIV,"Martinsville City Public Schools",Black,998,59,94.4,5.6
"2020 - 2021",DIV,"Martinsville City Public Schools","Economically Disadvantaged",1277,74,94.5,5.5
"2020 - 2021",DIV,"Martinsville City Public Schools","English Learners",138,7,95.2,4.8
"2020 - 2021",DIV,"Martinsville City Public Schools",Female,840,37,95.8,4.2
"2020 - 2021",DIV,"Martinsville City Public Schools",Hispanic,240,11,95.6,4.4
"2020 - 2021",DIV,"Martinsville City Public Schools",Homeless,29,3,,
"2020 - 2021",DIV,"Martinsville City Public Schools",Male,885,54,94.2,5.8
"2020 - 2021",DIV,"Martinsville City Public Schools","Multiple Races",122,6,95.3,4.7
"2020 - 2021",DIV,"Martinsville City Public Schools","Students with Disabilities",199,18,91.7,8.3
"2020 - 2021",DIV,"Martinsville City Public Schools",White,343,14,96.1,3.9
"2020 - 2021",DIV,"Mathews County Public Schools","All Students",770,111,87.4,12.6
"2020 - 2021",DIV,"Mathews County Public Schools","American Indian",<,<,,
"2020 - 2021",DIV,"Mathews County Public Schools",Asian,<,<,100,0
"2020 - 2021",DIV,"Mathews County Public Schools",Black,55,18,75.3,24.7
"2020 - 2021",DIV,"Mathews County Public Schools","Economically Disadvantaged",390,86,81.9,18.1
"2020 - 2021",DIV,"Mathews County Public Schools","English Learners",18,0,100,0
"2020 - 2021",DIV,"Mathews County Public Schools",Female,376,47,88.9,11.1
"2020 - 2021",DIV,"Mathews County Public Schools",Hispanic,33,4,89.2,10.8
"2020 - 2021",DIV,"Mathews County Public Schools",Homeless,7,6,,
"2020 - 2021",DIV,"Mathews County Public Schools",Male,394,64,86,14
"2020 - 2021",DIV,"Mathews County Public Schools","Multiple Races",36,15,70.6,29.4
"2020 - 2021",DIV,"Mathews County Public Schools","Students with Disabilities",125,24,83.9,16.1
"2020 - 2021",DIV,"Mathews County Public Schools",White,638,73,89.7,10.3
"2020 - 2021",DIV,"Mecklenburg County Public Schools","All Students",3622,246,93.6,6.4
"2020 - 2021",DIV,"Mecklenburg County Public Schools","American Indian",<,<,,
"2020 - 2021",DIV,"Mecklenburg County Public Schools",Asian,23,1,95.8,4.2
"2020 - 2021",DIV,"Mecklenburg County Public Schools",Black,1456,150,90.7,9.3
"2020 - 2021",DIV,"Mecklenburg County Public Schools","Economically Disadvantaged",2168,217,90.9,9.1
"2020 - 2021",DIV,"Mecklenburg County Public Schools","English Learners",103,6,94.5,5.5
"2020 - 2021",DIV,"Mecklenburg County Public Schools",Female,1774,105,94.4,5.6
"2020 - 2021",DIV,"Mecklenburg County Public Schools",Hispanic,176,13,93.1,6.9
"2020 - 2021",DIV,"Mecklenburg County Public Schools",Homeless,9,1,,
"2020 - 2021",DIV,"Mecklenburg County Public Schools",Male,1848,141,92.9,7.1
"2020 - 2021",DIV,"Mecklenburg County Public Schools","Multiple Races",189,14,93.1,6.9
"2020 - 2021",DIV,"Mecklenburg County Public Schools","Native Hawaiian",<,<,,
"2020 - 2021",DIV,"Mecklenburg County Public Schools","Students with Disabilities",428,35,92.4,7.6
"2020 - 2021",DIV,"Mecklenburg County Public Schools",White,1774,67,96.4,3.6
"2020 - 2021",DIV,"Middlesex County Public Schools","All Students",946,152,86.2,13.8
"2020 - 2021",DIV,"Middlesex County Public Schools","American Indian",<,<,,
"2020 - 2021",DIV,"Middlesex County Public Schools",Asian,<,<,100,0
"2020 - 2021",DIV,"Middlesex County Public Schools",Black,151,32,82.5,17.5
"2020 - 2021",DIV,"Middlesex County Public Schools","Economically Disadvantaged",518,137,79.1,20.9
"2020 - 2021",DIV,"Middlesex County Public Schools","English Learners",20,4,83.3,16.7
"2020 - 2021",DIV,"Middlesex County Public Schools",Female,471,74,86.4,13.6
"2020 - 2021",DIV,"Middlesex County Public Schools",Hispanic,47,11,81,19
"2020 - 2021",DIV,"Middlesex County Public Schools",Homeless,5,7,,
"2020 - 2021",DIV,"Middlesex County Public Schools",Male,475,78,85.9,14.1
"2020 - 2021",DIV,"Middlesex County Public Schools","Multiple Races",51,27,65.4,34.6
"2020 - 2021",DIV,"Middlesex County Public Schools","Students with Disabilities",165,38,81.3,18.7
"2020 - 2021",DIV,"Middlesex County Public Schools",White,695,81,89.6,10.4
"2020 - 2021",DIV,"Montgomery County Public Schools","All Students",8376,1100,88.4,11.6
"2020 - 2021",DIV,"Montgomery County Public Schools","American Indian",17,1,,
"2020 - 2021",DIV,"Montgomery County Public Schools",Asian,341,6,98.3,1.7
"2020 - 2021",DIV,"Montgomery County Public Schools",Black,304,105,74.3,25.7
"2020 - 2021",DIV,"Montgomery County Public Schools","Economically Disadvantaged",2993,870,77.5,22.5
"2020 - 2021",DIV,"Montgomery County Public Schools","English Learners",441,49,90,10
"2020 - 2021",DIV,"Montgomery County Public Schools",Female,4097,496,89.2,10.8
"2020 - 2021",DIV,"Montgomery County Public Schools",Hispanic,539,82,86.8,13.2
"2020 - 2021",DIV,"Montgomery County Public Schools",Homeless,31,37,,
"2020 - 2021",DIV,"Montgomery County Public Schools",Male,4279,604,87.6,12.4
"2020 - 2021",DIV,"Montgomery County Public Schools","Multiple Races",420,81,83.8,16.2
"2020 - 2021",DIV,"Montgomery County Public Schools","Native Hawaiian",<,<,,
"2020 - 2021",DIV,"Montgomery County Public Schools","Students with Disabilities",830,211,79.7,20.3
"2020 - 2021",DIV,"Montgomery County Public Schools",White,6750,824,89.1,10.9
"2020 - 2021",DIV,"Nelson County Public Schools","All Students",1453,103,93.4,6.6
"2020 - 2021",DIV,"Nelson County Public Schools","American Indian",<,<,,
"2020 - 2021",DIV,"Nelson County Public Schools",Asian,<,<,100,0
"2020 - 2021",DIV,"Nelson County Public Schools",Black,197,26,88.3,11.7
"2020 - 2021",DIV,"Nelson County Public Schools","Economically Disadvantaged",852,92,90.3,9.7
"2020 - 2021",DIV,"Nelson County Public Schools","English Learners",61,3,95.3,4.7
"2020 - 2021",DIV,"Nelson County Public Schools",Female,712,41,94.6,5.4
"2020 - 2021",DIV,"Nelson County Public Schools",Hispanic,147,6,96.1,3.9
"2020 - 2021",DIV,"Nelson County Public Schools",Homeless,20,4,,
"2020 - 2021",DIV,"Nelson County Public Schools",Male,740,62,92.3,7.7
"2020 - 2021",DIV,"Nelson County Public Schools","Multiple Races",71,8,89.9,10.1
"2020 - 2021",DIV,"Nelson County Public Schools","Native Hawaiian",<,<,,
"2020 - 2021",DIV,"Nelson County Public Schools","Students with Disabilities",237,16,93.7,6.3
"2020 - 2021",DIV,"Nelson County Public Schools",White,1028,62,94.3,5.7
"2020 - 2021",DIV,"New Kent County Public Schools","All Students",2892,137,95.5,4.5
"2020 - 2021",DIV,"New Kent County Public Schools","American Indian",30,1,,
"2020 - 2021",DIV,"New Kent County Public Schools",Asian,25,0,100,0
"2020 - 2021",DIV,"New Kent County Public Schools",Black,279,20,93.3,6.7
"2020 - 2021",DIV,"New Kent County Public Schools","Economically Disadvantaged",655,68,90.6,9.4
"2020 - 2021",DIV,"New Kent County Public Schools","English Learners",32,0,100,0
"2020 - 2021",DIV,"New Kent County Public Schools",Female,1405,62,95.8,4.2
"2020 - 2021",DIV,"New Kent County Public Schools",Hispanic,148,8,94.9,5.1
"2020 - 2021",DIV,"New Kent County Public Schools",Homeless,8,4,,
"2020 - 2021",DIV,"New Kent County Public Schools",Male,1487,75,95.2,4.8
"2020 - 2021",DIV,"New Kent County Public Schools","Multiple Races",164,13,92.7,7.3
"2020 - 2021",DIV,"New Kent County Public Schools","Native Hawaiian",<,<,,
"2020 - 2021",DIV,"New Kent County Public Schools","Students with Disabilities",348,32,91.6,8.4
"2020 - 2021",DIV,"New Kent County Public Schools",White,2245,95,95.9,4.1
"2020 - 2021",DIV,"Newport News City Public Schools","All Students",20016,5898,77.2,22.8
"2020 - 2021",DIV,"Newport News City Public Schools","American Indian",65,18,,
"2020 - 2021",DIV,"Newport News City Public Schools",Asian,518,53,90.7,9.3
"2020 - 2021",DIV,"Newport News City Public Schools",Black,10195,3862,72.5,27.5
"2020 - 2021",DIV,"Newport News City Public Schools","Economically Disadvantaged",10618,4806,68.8,31.2
"2020 - 2021",DIV,"Newport News City Public Schools","English Learners",1481,508,74.5,25.5
"2020 - 2021",DIV,"Newport News City Public Schools",Female,9881,2723,78.4,21.6
"2020 - 2021",DIV,"Newport News City Public Schools",Hispanic,3007,836,78.2,21.8
"2020 - 2021",DIV,"Newport News City Public Schools",Homeless,119,147,,
"2020 - 2021",DIV,"Newport News City Public Schools",Male,10133,3171,76.2,23.8
"2020 - 2021",DIV,"Newport News City Public Schools","Multiple Races",1535,391,79.7,20.3
"2020 - 2021",DIV,"Newport News City Public Schools","Native Hawaiian",91,14,,
"2020 - 2021",DIV,"Newport News City Public Schools","Students with Disabilities",2483,1009,71.1,28.9
"2020 - 2021",DIV,"Newport News City Public Schools",White,4605,724,86.4,13.6
"2020 - 2021",DIV,"Norfolk City Public Schools","All Students",22048,4375,83.4,16.6
"2020 - 2021",DIV,"Norfolk City Public Schools","American Indian",80,10,,
"2020 - 2021",DIV,"Norfolk City Public Schools",Asian,507,24,95.5,4.5
"2020 - 2021",DIV,"Norfolk City Public Schools",Black,12322,3152,79.6,20.4
"2020 - 2021",DIV,"Norfolk City Public Schools","Economically Disadvantaged",13211,3746,77.9,22.1
"2020 - 2021",DIV,"Norfolk City Public Schools","English Learners",1016,236,81.2,18.8
"2020 - 2021",DIV,"Norfolk City Public Schools",Female,10918,2088,83.9,16.1
"2020 - 2021",DIV,"Norfolk City Public Schools",Hispanic,2586,507,83.6,16.4
"2020 - 2021",DIV,"Norfolk City Public Schools",Homeless,281,134,,
"2020 - 2021",DIV,"Norfolk City Public Schools",Male,11130,2287,83,17
